,Year,Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,rates,MostSoldUSD,Lat,Lng
211,2018,Togo,10.2,13.5,13.5,XOF,600.0,0.001782,1.0692,8.619543,0.824782
212,2016,Togo,10.5,13.9,14.0,XOF,500.0,0.001782,0.891,8.619543,0.824782
213,2014,Togo,10.9,14.4,2.1,XOF,400.0,0.001782,0.7128,8.619543,0.824782
214,2012,Togo,11.2,14.9,2.4,XOF,400.0,0.001782,0.7128,8.619543,0.824782
215,2010,Togo,11.6,15.3,2.7,XOF,380.0,0.001782,0.67716,8.619543,0.824782
216,2008,Togo,12.2,16.1,3.3,XOF,350.0,0.001782,0.6237,8.619543,0.824782
217,2018,Bosnia and Herzegovina,30.9,38.3,38.3,BAM,5.5,0.597667,3.2871685,43.915886,17.679076
218,2016,Bosnia and Herzegovina,31.5,39.1,39.1,BAM,4.5,0.597667,2.6895014999999995,43.915886,17.679076
219,2014,Bosnia and Herzegovina,32.3,39.7,39.7,BAM,3.7,0.597667,2.2113679,43.915886,17.679076
220,2012,Bosnia and Herzegovina,32.9,40.6,40.6,BAM,2.8,0.597667,1.6734675999999995,43.915886,17.679076
221,2010,Bosnia and Herzegovina,33.6,41.4,41.4,BAM,2.3,0.597667,1.3746340999999995,43.915886,17.679076
222,2008,Bosnia and Herzegovina,34.7,42.8,42.8,BAM,2.0,0.597667,1.195334,43.915886,17.679076
223,2018,Brazil,15.3,17.2,16.5,BRL,5.0,0.184339,0.921695,-14.235004,-51.92528
224,2016,Brazil,16.2,14.2,17.8,BRL,6.24,0.184339,1.15027536,-14.235004,-51.92528
225,2014,Brazil,17.2,15.2,19.2,BRL,5.75,0.184339,1.05994925,-14.235004,-51.92528
226,2012,Brazil,14.4,16.2,20.7,BRL,4.25,0.184339,0.78344075,-14.235004,-51.92528
227,2010,Brazil,15.3,17.3,22.3,BRL,3.25,0.184339,0.59910175,-14.235004,-51.92528
228,2008,Brazil,17.0,19.2,25.0,BRL,2.4,0.184339,0.4424136,-14.235004,-51.92528
229,2018,Cambodia,16.1,2.0,37.4,KHR,2000.0,0.000244,0.488,12.565679,104.990963
230,2016,Cambodia,2.1,2.3,40.1,KHR,2000.0,0.000244,0.488,12.565679,104.990963
231,2014,Cambodia,2.5,2.7,43.4,KHR,1800.0,0.000244,0.4392,12.565679,104.990963
232,2012,Cambodia,2.9,3.2,46.9,KHR,1700.0,0.000244,0.4148,12.565679,104.990963
233,2010,Cambodia,3.4,3.7,30.6,USD,0.33,1.0,0.33,12.565679,104.990963
234,2008,Cambodia,4.4,4.7,34.6,USD,0.3,1.0,0.3,12.565679,104.990963
235,2018,Chad,12.3,17.9,2.3,XAF,1000.0,0.001782,1.782,15.454166,18.732207
236,2016,Chad,12.4,17.9,2.6,XAF,750.0,0.001782,1.3365,15.454166,18.732207
237,2014,Chad,12.4,18.0,2.9,XAF,700.0,0.001782,1.2474,15.454166,18.732207
238,2012,Chad,12.3,17.9,21.9,XAF,500.0,0.001782,0.891,15.454166,18.732207
239,2010,Chad,12.4,18.0,22.2,XAF,500.0,0.001782,0.891,15.454166,18.732207
240,2008,Chad,12.5,10.0,22.6,XAF,500.0,0.001782,0.891,15.454166,18.732207
241,2018,Congo,12.2,12.7,2.0,XAF,650.0,0.001782,1.1583,21.7587,-4.0383
242,2016,Congo,11.3,12.0,2.1,XAF,650.0,0.001782,1.1583,21.7587,-4.0383
243,2014,Congo,10.6,11.4,2.3,XAF,600.0,0.001782,1.0692,21.7587,-4.0383
244,2012,Congo,19.0,10.9,2.5,XAF,500.0,0.001782,0.891,21.7587,-4.0383
245,2010,Congo,17.9,10.3,2.7,XAF,500.0,0.001782,0.891,21.7587,-4.0383
246,2008,Congo,16.2,18.1,22.2,XAF,500.0,0.001782,0.891,21.7587,-4.0383
247,2018,Canada,12.5,13.0,17.5,CAD,11.81,0.78862,9.3136022,56.130366,-106.346771
248,2016,Canada,13.6,14.1,19.1,CAD,10.29,0.78862,8.1148998,56.130366,-106.346771
249,2014,Canada,14.8,15.4,20.7,CAD,9.25,0.78862,7.294735,56.130366,-106.346771
250,2012,Canada,16.1,16.7,22.6,CAD,8.49,0.78862,6.6953838,56.130366,-106.346771
251,2010,Canada,17.6,18.2,24.7,CAD,8.68,0.78862,6.8452216,56.130366,-106.346771
252,2008,Canada,20.0,20.7,28.1,CAD,7.86,0.78862,6.1985532,56.130366,-106.346771
253,2018,Chile,34.5,44.7,44.7,CLP,2700.0,0.001248,3.3696,-35.675147,-71.542969
254,2016,Chile,35.0,45.5,45.5,CLP,2178.0,0.001248,2.718144,-35.675147,-71.542969
255,2014,Chile,35.7,46.2,46.2,CLP,1701.0,0.001248,2.122848,-35.675147,-71.542969
